State,District,Block,zone_count,zone_label,display_color
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Chintur,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Alluri Sitharama Raju,Devipatnam,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,G.Madugula,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Kunavaram,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Munchingi Puttu,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Nellipaka,1,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid),#fece7c
Andhra Pradesh,Alluri Sitharama Raju,Paderu,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Peda Bayalu,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Alluri Sitharama Raju,Vararamachandrapuram,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Alluri Sitharama Raju,Y.Ramavaram,1,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Andhra Pradesh,Anakapalli,Anakapalle,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Andhra Pradesh,Anakapalli,Atchutapuram,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Andhra Pradesh,Anakapalli,Butchayyapeta,2,Shared: Eastern Coastal Plain (Subhumid–Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Anakapalli,Cheedikada,2,Shared: Eastern Coastal Plain (Subhumid–Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Anakapalli,Chodavaram,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Andhra Pradesh,Anakapalli,Devarapalle,2,Shared: Eastern Coastal Plain (Subhumid–Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Anakapalli,Golugonda,2,Shared: Eastern Coastal Plain (Subhumid–Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Andhra Pradesh,Anakapalli,K.Kotapadu,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Andhra Pradesh,Anakapalli,Kasimkota,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Andhra Pradesh,Anakapalli,Kotauratla,1,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
